text,reply_to_message_id,mentioned
"Привет! 
Тоже лечу одна в январе, можем искать вместе) у тебя лс закрыты",1453271,False
Продам 2 билета на Гуфа 4 января пишите в личку 🙏🏽,,False
Мы два дня назад 6 часов прекрасно провели в Шанхае,1453295,False
"Всем привет,мне 15 лет ❤️
Продаю свои горячие фоточки😍
Солнышко,дешевый прайс пиши мне в личку🥰❤️
Также есть приватный канал для тебя ,жду ❤️",,False
"Где то говорили , что не выпускают",1453294,False
"Да, вообще без проблем",1453277,False
Ватсап имела виду,1453285,False
"Я перепробовал много где, но мои самые любимые в ворде",1453284,False
Смс не доставляются,1453261,False
Где вкусные и недорогие сырники в районе чангу?,,False
,1453265,False
"Всем привет , скажите пожалуйста 🙏 
Тем кто летел из Москвы через Шанхай , пересадка 9 часов , выпускают в город ?",,False
"Noiзe MC уже сегодня! 

На танцпол осталось около 50 билетов 🔥 
Уверенности, что будут билеты на входе у нас нет, поэтому советуем бронировать заранее, ещё есть время 😊

Пожалуйста, остерегайтесь мошенников, не перекупайте билеты с рук, билеты только в наших официальных аккаунтах и на сайте sRoast 
(если сложности с оплатой или есть вопросы лучше напишите на @sroast_events, возможно, предложим вам вариант скидки)",1453203,False
+++,1453270,False
тогда понятно),1453242,False
"На 50к дороже кальян чем в Ahahac, но атмосфера приятнее и еда вкусная.",1453194,False
"Всем привет ! Ищу с кем пошерить виллу , лечу с России в январе !

Районы Чангу , улувату , табанан, Семиняк

Лечу совсем одна. Психолог. пригожусь.",,False
"Ребята, а кто где НГ встречает?)
Ищу компанию, желательно без пьяного треша и угара, и не в клубе, в кругу тех, кто за развитие)
Буду рада предложениям в лс)
Всем классного дня!",,False
https://maps.app.goo.gl/EKFAAgpZsGeZZy8R6?g_st=ic,1453194,False
"Всем привет. Кто знает, где купить на Бали селедку 😀",,False
"Всем привет, посоветуйте русскоговорящего гида на Бали)",,False
"Может дурно звучит но нужно именно индонезийское симкарта 
Пожалуйста помогите только но один смс я заплачу.
Муж изменил с местной девочкой.",1453250,False
,,False
"👋🏻 Извиняюcь зa беспокойство. Удaлённaя легaльнaя рaбoтa (выплaты в первый дeнь) ""+"" в лc.
Тaк жe пoдoйдёт как пaccuвный дoxoд",,False
"Ребята, всем привет! Есть свободный билет на Ивана Дорна, пишите👌",,False
Хотим поехать завтра на Нуса-пенида. Есть еще желающие? Желательно с байками 🫠😀,,False
"Ребята пожалуйста отзовитесь,помогите симкартой подробно напишу в личку",,False
Кто знает где можно качественно обклеить пленкой байк?,,False
"Где купить для подарков конфет не дорого? Планирую в костюме  ""Деда Мороза""  на улице раздавать.",,False
Газпром банк Юнион Пей работает. Почти везде.,1438925,False
